000001.wav|Jest to drugi nasz wykład z cyklu obliczeń naukowo-technicznych.
000002.wav|W nim zajmiemy się szerzej rozumianą analizą danych tabelarycznych.
000003.wav|jak sama nazwa wskazuje, tabelarycznych.
000004.wav|trafia właśnie do nas w postaci tabel.
000005.wav|Jakichś arkuszy kalkulacyjnych, plików CSV, eksportów z aparatury, logów procesowych, czy nawet z bazy QSL.
000006.wav|Pandas daje nam wspólny język do pracy z takimi danymi, niezależnie od tego skąd one pochodzą.
000007.wav|I chcę, aby od początku było jasne, że nie będziemy dzisiaj sobie mówić wyłącznie o wczytywaniu plików, bo to by było zbyt wąskie spojrzenie.
000008.wav|Pandas to środowisko do całego przepływu pracy z danymi, od samego importu przez czyszczenie, transformację, agregację i łączenie tabel
000009.wav|aż po analizę szeregów czasowych i szybką eksplorację wizualną.
000010.wav|Dlatego w praktyce oznacza to, że jeżeli dobrze opanują Państwo ten wykład, to zyskują narzędzie, które będzie wracało praktycznie w każdym dalszym module kursu.
000011.wav|Warto też pamiętać o ważnej prawdzie takiej praktycznej.
000012.wav|W wielu projektach analiza danych nie zaczyna się od modelu, tylko właśnie od porządkowania bałaganu.
000013.wav|w pracy analitycznej.
000014.wav|I dlatego Pandas jest tak ważny, bo on nie służy do oglądania tabel, ale do właśnie nadawania danym postaci, z którą dalej da się sensownie pracować.
000015.wav|Później przejdziemy do czyszczenia danych, bo w realnych projektach one nigdy nie są idealne.
000016.wav|Następnie pokażę Wam transformacje, agregacje, czyli operacje group by, pivot, melt, apply, query.
000017.wav|One pozwalają nam przejść od surowych tabel do informacji już gotowej do interpretacji.
000018.wav|Następnie powiemy sobie o łączeniu zbiorów danych, bo bardzo często jedna tabela nie jest wystarczająca.
000019.wav|Łączymy pomiary z metadanymi materiałowymi, operatorami, ustawieniami procesów,
000020.wav|Następnie pokażę Wam pracę z szeregami czasowymi, czyli Date-Time Index, Resample, Rolling, Opóźnienia i Różnice.
000021.wav|czytelnym całym zestawieniem struktury danych.
